family,name,class,cap_diameter,cap_shape,Cap_surface,cap_color,does_bruise_or_bleed,gill_attachment,gill_spacing,gill_color,stem_height,stem_width,stem_root,stem_surface,stem_color,veil_type,veil_color,has_ring,ring_type,Spore_print_color,habitat,season
Amanita_Family,Fly_Agaric,p,"[10, 20]","[x, f]","[g, h]","[e, o]",[f],[e],,[w],"[15, 20]","[15, 20]",[s],[y],[w],[u],[w],[t],"[g, p]",,[d],"[u, a, w]"
Amanita_Family,Panther_Cap,p,"[5, 10]","[p, x]",[g],[n],[f],[e],,[w],"[6, 10]","[10, 20]",,[y],[w],[u],[w],[t],[p],,[d],"[u, a]"
Amanita_Family,False_Panther_Cap,p,"[10, 15]","[x, f]",,"[g, n]",[f],[e],,[w],"[10, 12]","[10, 20]",,,[w],[u],[w],[t],"[e, g]",,[d],"[u, a]"
Amanita_Family,The_Blusher,e,"[5, 15]","[x, f]",,[n],[t],,,[w],"[7, 15]","[10, 25]",[b],,[w],[u],[w],[t],[g],,[d],"[u, a]"
Amanita_Family,Death_Cap,p,"[5, 12]","[x, f]",[h],[r],[f],,[c],[w],"[10, 12]","[10, 20]",,,[w],[u],[w],[t],"[g, p]",,[d],"[u, a]"
Amanita_Family,False_Death_Cap,e,"[4, 9]",[x],,"[w, y]",[f],[e],,[w],"[5, 7]","[10, 15]",[b],,"[w, y]",[u],"[y, w]",[t],[g],,[d],"[u, a]"
Amanita_Family,Destroying_Angel,p,"[5, 10]",[b],[t],[w],[f],[e],[c],[w],"[10, 15]","[10, 15]",,[y],[w],[u],[w],[t],"[l, e]",,[d],"[u, a]"
Amanita_Family,Tawny_Grisette,e,"[4, 8]","[c, x]","[h, t]",[n],[f],[e],,[w],"[10, 15]","[10, 15]",,[s],"[w, n]",[u],[w],[f],[f],,[d],"[u, a]"
Lepiota_Family,Parasol_Mushroom,e,"[10, 25]","[p, f]",[y],"[w, n]",[f],,,[w],"[15, 35]","[15, 25]",[s],,[n],,,[t],[m],,"[m, d]","[u, a]"
Lepiota_Family,Shaggy_Parasol,e,"[12, 18]",[x],"[e, y]",[n],[t],[e],,[w],"[8, 12]","[15, 20]",,,[w],,,[t],,,"[g, d]","[u, a]"
Lepiota_Family,Stinking_Parasol,p,"[2, 5]","[b, f]",[y],"[e, n, p, w]",[f],[e],[c],"[n, w]","[3, 6]","[3, 4]",,[k],[w],,,[t],[e],,"[m, d]","[u, a]"
Tricholoma_Family,Saffron_Parasol,p,"[2, 5]",[x],[y],"[y, n]",[f],[a],,[w],"[4, 7]","[3, 4]",,[y],"[y, n]",,,[t],[r],,"[g, h, d]","[u, a]"
Tricholoma_Family,The_Deceiver,e,"[1, 4]","[f, s]",[y],[n],[f],"[a, d]",[d],[p],"[3, 10]","[2, 5]",,[i],[n],,,[f],[f],,"[l, h]","[u, a]"
Tricholoma_Family,Amethyst_Deceiver,e,"[1, 4]",[x],,"[b, u]",[f],,[d],"[u, w]","[4, 8]","[3, 6]",,,[w],,,[f],[f],,[d],"[u, a, w]"
Tricholoma_Family,Wood_Blewit,e,"[5, 15]","[f, s]",,"[l, u, g, n]",[f],[s],[c],"[b, u]","[5, 10]","[15, 25]",,,"[b, u]",,,[f],[f],,"[l, d]","[a, w]"
Tricholoma_Family,Field_Blewit,e,"[5, 12]","[x, f, s]",,"[g, n]",[f],[s],[c],"[g, p]","[4, 10]","[15, 25]",[b],,[u],,,[f],[f],,"[g, d]","[a, w]"
Tricholoma_Family,Clouded_Agaric,e,"[8, 20]","[x, f, s]",[e],"[g, n]",[f],"[a, d]",[c],[w],"[5, 12]","[20, 30]",[s],,[w],,,[f],[f],,"[l, d]","[a, w]"
Tricholoma_Family,Club_footed_Funnel_Cap,p,"[4, 8]","[x, f]",,"[g, n]",[f],[d],[c],"[w, y]","[4, 7]",[10],[b],,[n],,,[f],[f],,"[l, d]","[a, w]"
Tricholoma_Family,Common_Funnel_Cap,e,"[4, 8]",[s],,[n],[f],[d],[c],[w],"[3, 7]","[6, 10]",,[s],[w],,,[f],[f],,"[l, d, h]","[u, a]"
Tricholoma_Family,Aniseed_Funnel_Cap,e,"[3, 6]",[x],,"[l, r, w]",[f],"[a, d]",,[r],"[4, 8]","[5, 10]",,,"[l, r, w]",,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Ivory_Clitocybe,p,"[2, 4]","[x, f, s]",[s],"[w, g]",[f],[d],[c],[w],"[2, 4]","[5, 10]",,,[w],,,[f],[f],,[g],"[u, a]"
Tricholoma_Family,Wood_Woolly_foot,p,"[3, 6]",[f],[l],"[n, e, y]",[f],[x],[d],"[n, e, y]","[4, 8]","[4, 6]",,,"[n, y]",,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Russet_Tough_Shank,p,"[2, 5]",[f],[d],"[n, b]",[f],[x],[c],"[w, y]","[3, 6]","[2, 4]",[b],"[i, s]",[n],,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Clustered_Tough_Shank,p,"[2, 5]","[x, f]",,"[n, w]",[f],[x],[c],[p],"[6, 10]","[3, 5]",,,"[n, p]",,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Greasy_Tough_Shank,e,"[4, 8]","[x, f]",[s],"[n, b]",[f],[x],[c],[w],"[5, 9]",[10],,[s],[n],,,[f],[f],,[l],"[a, w]"
Tricholoma_Family,Spotted_Tough_Shank,p,"[6, 12]","[x, f]",,"[w, n]",[f],[x],[c],[w],"[8, 12]","[8, 15]",[r],[i],[w],,,[f],[f],,"[d, h]","[u, a]"
Tricholoma_Family,Fairy_Ring_Champignon,e,"[2, 5]",[b],[g],"[n ,w]",[f],[x],[d],[w],"[3, 6]","[2, 4]",,,[y],,,[f],[f],,[g],"[u, a]"
Tricholoma_Family,Little_Wheel_Fungus,p,"[0.7, 1.3]",[x],[g],[w],[f],[a],[d],[w],"[2, 4]","[1, 2]",,,"[n, e]",,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Horse_hair_Fungus,p,"[0.5, 1]",[x],[g],"[n, p, e]",[f],[a],,"[n, p]","[3, 5]",[1],,"[s, h]",[k],,,[f],[f],,[d],"[s, u, a, w]"
Tricholoma_Family,Bonnet_Bell_Cap,e,"[2, 6]","[b, f]",[g],"[n, g]",[f],[a],[d],[g],"[3, 8]","[2, 5]",,[s],"[n, g]",,,[f],[f],,[d],"[s, u, a, w]"
Tricholoma_Family,Stump_Bell_Cap,p,"[1, 3]",[b],,"[g, n]",[f],[a],,[g],"[4, 6]",[2],,[s],"[g, n]",,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Tufted_Bell_Cap,p,"[2, 3]",[x],[g],"[e, n]",[f],[a],,"[w, p]","[4, 10]","[2, 3]",,,"[n, w]",,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Milky_Bell_Cap,e,"[1, 2]",[c],[g],[n],[f],[a],,"[g, w]","[4, 6]","[1, 2]",,,[g],,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Small_Bleeding_Bell_Cap,e,"[0.5, 1.5]","[c, x, f]",[g],"[n, e]",[t],[a],,"[p, w]","[4, 7]",[1],,,[n],,,[f],[f],,"[d, h]","[u, a]"
Tricholoma_Family,Lilac_Bell_Cap,p,"[2, 5]","[b, f, s]",[w],[u],[f],[a],[c],"[g, u]","[3, 8]","[3, 8]",,[s],[u],,,[f],[f],,"[l, d]","[u, a]"
Tricholoma_Family,Yellow_stemmed_Bell_Cap,e,"[1, 2]",[x],"[g, s, t]","[n, y]",[f],"[a, d]",,[w],"[4, 8]","[1, 3]",,[t],[y],,,[f],[f],,"[g, d, h]","[u, a]"
Tricholoma_Family,Orange_Bell_Cap,p,"[0.4, 1]",[x],[g],"[o, y]",[f],,,[y],"[3, 4]","[0.5, 1]",,,"[w, y]",,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Orange_Moss_Agaric,p,"[0.4, 1]","[x, f]",,[o],[f],[d],,[o],"[3, 6]",[1],,,"[o, y]",,,[f],[f],[w],[g],"[u, a]"
Tricholoma_Family,Umbrella_Navel_Cap,p,"[1, 2]",[x],[g],"[n, y]",[f],[d],[d],[n],"[1, 3]","[2, 3]",,[s],[n],,,[f],[f],,"[d, h]","[u, a]"
Tricholoma_Family,Rooting_Shank,p,"[4, 10]","[x, f]","[h, t, w]","[n, e]",[f],[x],,[w],"[8, 20]","[5, 10]",[r],[g],[n],,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Porcelain_Mushroom,e,"[4, 8]",[x],"[h, t]","[g, n]",[f],[a],[d],[n],"[4, 8]","[3, 7]",,[t],"[g, w]",,,[t],[l],,[d],"[u, a, w]"
Tricholoma_Family,Velvet_Shank,e,"[2, 7]","[x, f]","[h, t]","[o, n]",[f],[a],[d],"[w, y]","[3, 10]","[3, 8]",,"[k, s]","[o, n]",,,[f],[f],,[d],"[s, a, w]"
Tricholoma_Family,Honey_Fungus,e,"[5, 15]","[x, f]",[s],"[e, n, y]",[f],"[a, d]",[d],[w],"[6, 12]","[10, 20]",,[i],[n],,,[t],,[w],[d],"[u, a, w]"
Tricholoma_Family,Bulbous_Honey_Fungus,e,"[5, 15]","[x, f]",[y],"[e, n, y]",[f],,,[w],"[4, 10]","[20, 30]",[b],,[n],,[w],[t],[e],,[d],"[a, w]"
Tricholoma_Family,Soap_scented_Tricholoma,p,"[3, 10]",[x],[s],"[g, r, n]",[t],[s],[d],"[w, r]","[3, 8]","[10, 20]",[r],"[i, y]","[w, n]",,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Grey_Tricholoma,e,"[4, 8]","[b, f]",[h],"[g, k]",[f],[s],[d],"[g, w]","[3, 7]",[10],,[s],[g],,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Scaly_Tricholoma,e,"[3, 7]","[x, f]",[y],"[g, n]",[f],[s],,"[g, w, y]","[3, 6]","[5, 10]",,,[w],,,[f],[f],,[d],"[u, a]"
Tricholoma_Family,Yellow_brown_Tricholoma,e,"[5, 10]",[f],"[g, s, h, t]","[n, o]",[f],[s],,"[n, y]","[7, 11]","[10, 15]",,"[i, t]","[n, o]",,,[f],[f],,[d],[a]
Tricholoma_Family,Sulphur_Tricholoma,p,"[3, 8]","[x, f]",,[y],[f],[s],[d],[y],"[3, 8]","[8, 18]",,[i],[y],,,[f],[f],,[d],[a]
Tricholoma_Family,St_George's_Mushroom,e,"[5, 12]","[x, f]","[d, s]",[w],[f],[s],[c],[w],"[4, 10]","[20, 40]",,,[w],,,[f],[f],,"[m, d]","[s, u]"
Tricholoma_Family,Clustered_Brown_Cap,e,"[6, 10]","[p, x]",,"[g, n]",[f],[a],,[w],"[5, 10]","[10, 18]",,,"[g, w]",,,[f],[f],,"[g, d]","[u, a]"
Tricholoma_Family,Changeable_Melanoleuca,e,"[4, 10]",[f],[s],[n],[f],[s],[c],[w],"[4, 8]",[10],[b],[i],"[n, w]",,,[f],[f],,"[g, l, m, d]","[u, a]"
